fu,□,colloquial,fusin 福方 “菩蝇” (苍蝇),,
fǔ,妇,same,,,
fǔ,户,same,,,
fǔ,狐,literary,,,
fǔ,袴,colloquial,,,
fǔ,护,colloquial,,,
fǔ,度,colloquial,,,
fǔ,赴,colloquial,,,
fǔ,沪,colloquial,,,
fǔ,付,colloquial,,,
fǔ,腐,colloquial,,,
fǔ,父,colloquial,,,
fǔ,附,colloquial,,,
fǔ,富,colloquial,,,
fũ,苦,colloquial,,,
fũ,虎,same,,,
fũ,府,same,,,
fũ,斧,same,,,
fũ,釜,same,,,
fũ,抚,literary,,,
fũ,腐,colloquial,,,
fũ,傅,colloquial,,,
fũ,护,literary,,,
fũ,胡,colloquial,,,
fũ,狐,colloquial,,,
fũ,湖,colloquial,,,
fũ,壶,colloquial,,,
fũ,葫,colloquial,,,
fũ,扶,colloquial,,,
tú,都,same,,,
tu,度,literary,,,
tǔ,肚,colloquial,,,
tû,度,colloquial,,,
thu,图,colloquial,,,
thu,涂,colloquial,,,
thu,吐,literary,,,
thu,兔,literary,,,
thù,吐,colloquial,,,
thù,兔,colloquial,,,
thǔ,土,colloquial,,,
thû,徒,same,,,
thû,屠,same,,,
thû,图,literary,,,
nu,奴,colloquial,,,
nu,怒,literary,,,
nù,□,colloquial,kúkúnù “□□怒?”(恼怒),,
nû,奴,literary,,,
lu,□,colloquial,FP,,
lu,路,literary,,,
lu,露,literary,,,
lǔ,卤,same,,,
lǔ,旅,same,,,
lǔ,祖,same,,,
lû,露,colloquial,,,
lû,庐,literary,,,
cú,租,same,,,
cu,子,colloquial,lâawcu “老子” (父亲),,
cu,做,literary,,,
cǔ,子,colloquial,,,
cû,自,colloquial,,,
chú,粗,same,,,
chu,辞,colloquial,,,
chu,醋,literary,,,
chù,醋,colloquial,,,
chù,赐,colloquial,,,
chù,□,colloquial,?î'chù (意思、主意?),,
sú,师,colloquial,,,
sú,狮,colloquial,,,
sú,私,colloquial,,,
sú,舒,colloquial,,,
sú,苏,same,,,
sú,须,same,,,
su,事,colloquial,sukàan “事干” (事情),,
su,诉,literary,,,
su,数,literary,,,
sù,数,colloquial,,,
sû,士,colloquial,,,
sû,事,colloquial,,,
sû,似,colloquial,,,
kú,枯,colloquial,,,
kú,□,colloquial,kúkúnù “□□怒?” (恼怒，试比较粤方言“鼓”),,
kú,沽,same,,,
kú,辜,same,,,
kú,姑,same,,,
kú,孤,colloquial,,,
ku,糊,colloquial,,,
ku,固,same,,,
ku,故,literary,,,
ku,顾,literary,,,
