Line 2705: 𨱑 | XHZD: huáng (huang2) | CEDICT: ['heng2']
Line 2714: 滉 | XHZD: huàng (huang4) | CEDICT: ['huang3']
Line 2716: 皝 | XHZD: huàng (huang4) | CEDICT: ['huang3']
Line 2723: 珲 | XHZD: huī (hui1) | CEDICT: ['hun2']
Line 2745: 浍 | XHZD: huì (hui4) | CEDICT: ['kuai4']
Line 2754: 彗 | XHZD: huì（旧读suì） (huisui4) | CEDICT: ['hui4']
Line 2774: 碈 | XHZD: hūn (hun1) | CEDICT: ['min2']
Line 2780: 魂 | XHZD: hùn (hun4) | CEDICT: ['hun2']
Line 2789: 嚄 | XHZD: huō (huo1) | CEDICT: ['huo4', 'o3']
Line 2798: 漷 | XHZD: huǒ (huo3) | CEDICT: ['kuo4']
Line 2825: 芨 | XHZD: jī (ji1) | CEDICT: ['ji2']
Line 2842: 期 | XHZD: jī (ji1) | CEDICT: ['qi1']
Line 2865: 诘 | XHZD: jí (ji2) | CEDICT: ['jie2']
Line 2871: 革 | XHZD: jí (ji2) | CEDICT: ['ge2']
Line 2987: 价 | XHZD: jiǎ (jia3) | CEDICT: ['jia4', 'jie5']
Line 2996: 溅 | XHZD: jiān (jian1) | CEDICT: ['jian4']
Line 3053: 锏 | XHZD: jiàn (jian4) | CEDICT: ['jian3']
Line 3096: 虹 | XHZD: jiàng (jiang4) | CEDICT: ['hong2']
Line 3133: 恔 | XHZD: jiǎo (jiao3) | CEDICT: ['xiao4']
Line 3165: 爝 | XHZD: jiào（又） (jiao4) | CEDICT: ['jue2']
Line 3201: 寁 | XHZD: jié (jie2) | CEDICT: ['zan3']
Line 3221: 骱 | XHZD: jiè (jie4) | CEDICT: ['xie4']
Line 3233: 家 | XHZD: jie (jie) | CEDICT: ['jia1']
Line 3257: 仅 | XHZD: jìn (jin4) | CEDICT: ['jin3']
Line 3275: 祲 | XHZD: jìn (jin4) | CEDICT: ['jin1']
Line 3278: 墐 | XHZD: jìn (jin4) | CEDICT: ['jin3']
Line 3298: 粳 | XHZD: jīng又gēng (jinggeng1) | CEDICT: ['jing1']
Line 3331: 𬳶 | XHZD: jiōng (jiong1) | CEDICT: ['jiong3']
Line 3345: 究 | XHZD: jiū（旧读jiù） (jiujiu4) | CEDICT: ['jiu1']
Line 3351: 氿 | XHZD: jiǔ (jiu3) | CEDICT: ['gui3']
Line 3371: 且 | XHZD: jū (ju1) | CEDICT: ['qie3']
Line 3373: 岨 | XHZD: jū (ju1) | CEDICT: ['qu1']
Line 3375: 砠 | XHZD: jū (ju1) | CEDICT: ['qu1']
Line 3390: 俱 | XHZD: jū (ju1) | CEDICT: ['ju4']
Line 3432: 沮 | XHZD: jù (ju4) | CEDICT: ['ju3']
Line 3454: 锩 | XHZD: juǎn (juan3) | CEDICT: ['juan4']
Line 3472: 𫘝 | XHZD: jué (jue2) | CEDICT: ['kuai4']
Line 3499: 嚼 | XHZD: jué (jue2) | CEDICT: ['jiao2', 'jiao4']
Line 3500: 爝 | XHZD: jué又jiào (juejiao4) | CEDICT: ['jue2']
Line 3511: 筠 | XHZD: jūn (jun1) | CEDICT: ['yun2']
Line 3534: 咔 | XHZD: kā (ka1) | CEDICT: ['ka3']
Line 3537: 擖 | XHZD: kā (ka1) | CEDICT: ['ge3']
Line 3542: 咯 | XHZD: kǎ (ka3) | CEDICT: ['lo5', 'ge1', 'luo4']
Line 3574: 崁 | XHZD: kàn (kan4) | CEDICT: ['kan3']
Line 3577: 阚 | XHZD: hǎn (han3) | CEDICT: ['kan4']
Line 3589: 闶 | XHZD: kàng (kang4) | CEDICT: ['kang1']
Line 3602: 坷 | XHZD: kē (ke1) | CEDICT: ['ke3']
Line 3609: 疴 | XHZD: kē（旧读ē） (kee1) | CEDICT: ['ke1']
Line 3619: 搕 | XHZD: kē (ke1) | CEDICT: ['ke4']
Line 3620: 榼 | XHZD: kē (ke1) | CEDICT: ['ke4']
Line 3684: 㧟 | XHZD: kuà (kua4) | CEDICT: ['kuai3']
Line 3784: 拉 | XHZD: lá (la2) | CEDICT: ['la1']
Line 3888: 肋 | XHZD: lē (le1) | CEDICT: ['lei4']
Line 3926: 崚 | XHZD: léng又líng (lengling2) | CEDICT: ['leng2']
Line 3931: 堎 | XHZD: lèng (leng4) | CEDICT: ['ling2']
Line 3971: 沣 | XHZD: lǐ (li3) | CEDICT: ['feng1']
