傲,7,左栏第3条,ào,一级,12画,❶自高自大（连：骄–）：～慢|高～。❷藐视，不屈：红梅～霜雪。
骜（驁）,7,左栏第4条,ào,二级,13画,"❶快马。
❷马不驯良。喻：傲慢，不驯顺：桀～不驯。"
鏊,7,左栏第5条,ào,二级,18画,一种铁制的烙饼的炊具，平面圆形，中间稍凸。
奥,7,左栏第6条,ào,二级,12画,含义深，不容易懂：深～|～妙。
薁,7,左栏第7条,ào,三级,15画,有机化合物，与萘（nài）的成分相同，结构不同，青蓝色，有特殊气味，用作药物。另见yù。
懊,7,左栏第8条,ào,一级,15画,烦恼，悔恨：～悔。［懊丧］（–sàng）因失意而郁闷不乐。
鿫,7,左栏第9条,ào,无,16画,人造的放射性元素，符号Og，原子序数118。
八,7,右栏第1条,bā,一级,2画,七加一后所得的数目。
扒,7,右栏第2条,bā,一级,5画,❶抓住，把着：～着栏杆|～着树枝。❷刨开，挖：～土|城墙～了个豁口。［扒拉］（–la）拨动：～算盘|～开众人。❸剥，脱：～皮|～下衣裳。另见pá。
叭,7,右栏第3条,bā,一级,5画,拟声词，形容物体的断裂声、枪声等：～的一声，弦断了|～，～，两声枪响。
朳,7,右栏第4条,bā,三级,6画,无齿的耙子。
巴,7,右栏第5条,bā,一级,4画,❶黏结着的东西：锅～。❷〈方〉粘住，依附在别的东西上：饭～锅了|爬山虎～在墙上。❸〈方〉贴近：前不～村，后不～店。［巴结］（–jie）奉承，谄媚。❹巴望，盼，期望：～不得马上到家。❺古国名，在今四川省东部和重庆市一带。❻（ba）后缀。1.用在名词性成分后：尾～。2.用在动词性成分后：眨～眼|试～试～。3.用在形容词性成分后：干～|皱～。❼（外）巴士：大～|中～。❽（外）压强的非法定计量单位，符号bar，1巴合105帕。
芭,8,左栏第1条,bā,一级,9画,［芭蕉］（–jiāo）草本植物，叶宽大。果实也叫芭蕉，跟香蕉相似，可以吃。
夿,8,左栏第2条,bā,无,7画,见“奤”字条“奤夿屯”（hǎ––）。
吧,8,左栏第3条,bā,一级,7画,❶同“叭”。［吧嗒］（–dā）拟声词，形容物体轻微撞击声、液体滴落声等。［吧唧］（–jī）拟声词，形容嘴唇开合声、脚踩泥水声等。❷（外）具备特定功能或设施的休闲场所：酒～|网～|氧～|～台。另见ba。
岜,8,左栏第4条,bā,三级,7画,（壮）石山。［岜关岭］地名，在广西壮族自治区扶绥。
疤,8,左栏第5条,bā,一级,9画,❶疤瘌（la），伤口或疮平复以后留下的痕迹：疮～|伤～|伤口结～了。❷器物上像疤的痕迹。
蚆,8,左栏第6条,bā,三级,10画,蚆蛸（shāo）岛，岛名，在辽宁省长海县。
笆,8,左栏第7条,bā,二级,10画,用竹子、柳条等编成的片状物：竹篾～|～篓|荆～|篱～。
羓,8,左栏第8条,bā,三级,10画,❶干肉，泛指干制食品。❷一种品种好的羊。
粑,8,左栏第9条,bā,二级,10画,〈方〉饼类食物（叠）：玉米～～。
鲃,8,右栏第1条,bā,三级,12画,鱼名，身体侧扁或略呈圆筒形，生活在淡水中。
捌,8,右栏第2条,bā,一级,10画,“八”字的大写。
拔,8,右栏第3条,bá,一级,8画,"❶抽，拉出，连根拽（zhuài）出：～草|～牙|一毛不～（形容吝啬）|不能自～。引：夺取军事上的据点：连～数城|～去敌人的据点。
❷吸出：～毒|～火罐。
❸挑选，提升：选～。
［提拔］挑选人员使担任更高的职务。
❹超出：海～（地面超出海平面的高度）。"
茇,8,右栏第4条,bá,无,8画,草根。
妭,8,右栏第5条,bá,三级,8画,美妇。
胈,8,右栏第6条,bá,三级,9画,大腿上的毛。
菝,8,右栏第7条,bá,三级,11画,菝葜］（–qiā）藤本植物，叶卵圆形，茎有刺，花黄绿色，浆果红色。根状茎可入药。
跋,8,右栏第8条,bá,一级,12画,❶翻过山岭：～山涉水。［跋涉］爬山蹚水，形容行路辛苦：长途～。❷写在文章、书籍等后面的短文，多是评介内容的：～文。［跋扈］（–hù）骄傲而专横。
魃,8,右栏第9条,bá,二级,14画,传说中造成旱灾的鬼怪：旱～。
鼥,9,左栏第1条,bá,无,18画,见“鼧”字条“鼧鼥”（tuó–）。
